(1, 'Swim_tot', None, 3.9, 3.9, '2019-10-12 00:47:00.0000000', '2019-10-12 00:47:00.0000000', 4.9, None)
(2, 'Transition_1', None, None, 3.9, '2019-10-12 00:49:00.0000000', '2019-10-12 00:01:00.0000000', None, None)
(3, None, 'Bike', 3.5, 7.4, '2019-10-12 00:55:00.0000000', '2019-10-12 00:06:00.0000000', 34.9, '25')
(4, None, 'Bike', 7.5, 11.4, '2019-10-12 01:01:00.0000000', '2019-10-12 00:06:00.0000000', 37.0, '25')
(5, None, 'Bike', 14.1, 18.0, '2019-10-12 01:10:00.0000000', '2019-10-12 00:08:00.0000000', 47.4, '25')
(6, None, 'Bike', 23.7, 27.6, '2019-10-12 01:23:00.0000000', '2019-10-12 00:13:00.0000000', 43.5, '25')
(7, None, 'Bike', 37.6, 41.5, '2019-10-12 01:43:00.0000000', '2019-10-12 00:19:00.0000000', 42.7, '25')
(8, None, 'Bike', 50.4, 54.3, '2019-10-12 01:59:00.0000000', '2019-10-12 00:16:00.0000000', 45.6, '25')
(9, None, 'Bike', 67.5, 71.4, '2019-10-12 02:24:00.0000000', '2019-10-12 00:24:00.0000000', 41.3, '26.1')
(10, None, 'Bike', 80.5, 84.4, '2019-10-12 02:42:00.0000000', '2019-10-12 00:17:00.0000000', 43.6, '26.1')
(11, None, 'Bike', 95.9, 99.8, '2019-10-12 03:08:00.0000000', '2019-10-12 00:25:00.0000000', 35.8, '26.6')
(12, None, 'Bike', 111.3, 115.2, '2019-10-12 03:26:00.0000000', '2019-10-12 00:17:00.0000000', 51.7, '26.6')
(13, None, 'Bike', 124.3, 128.2, '2019-10-12 03:43:00.0000000', '2019-10-12 00:16:00.0000000', 46.5, '26.6')
(14, None, 'Bike', 141.3, 145.2, '2019-10-12 04:08:00.0000000', '2019-10-12 00:25:00.0000000', 40.3, '27.7')
(15, None, 'Bike', 154.1, 158.0, '2019-10-12 04:28:00.0000000', '2019-10-12 00:19:00.0000000', 38.7, '27.7')
(16, None, 'Bike', 168.1, 172.0, '2019-10-12 04:46:00.0000000', '2019-10-12 00:18:00.0000000', 44.9, '27.7')
(17, None, 'Bike', 181.2, 185.1, '2019-10-12 05:05:00.0000000', '2019-10-12 00:18:00.0000000', 41.9, '28.8')
(18, 'Bike_tot', None, 181.2, 185.1, '2019-10-12 05:05:00.0000000', '2019-10-12 04:16:00.0000000', 42.5, None)
(19, 'Transition_2', None, None, 185.1, '2019-10-12 05:08:00.0000000', '2019-10-12 00:02:00.0000000', None, None)
(20, None, 'Run', 1.2, 186.3, '2019-10-12 05:12:00.0000000', '2019-10-12 00:04:00.0000000', 17.5, '28.8')
(21, None, 'Run', 1.3, 186.4, '2019-10-12 05:12:00.0000000', '2019-10-12 00:00:00.0000000', 18.2, '28.8')
(22, None, 'Run', 2.9, 188.0, '2019-10-12 05:18:00.0000000', '2019-10-12 00:05:00.0000000', 16.4, '28.8')
(23, None, 'Run', 3.2, 188.3, '2019-10-12 05:19:00.0000000', '2019-10-12 00:01:00.0000000', 17.5, '28.8')
(24, None, 'Run', 6.0, 191.1, '2019-10-12 05:29:00.0000000', '2019-10-12 00:09:00.0000000', 17.1, '28.8')
(25, None, 'Run', 8.7, 193.8, '2019-10-12 05:39:00.0000000', '2019-10-12 00:10:00.0000000', 16.1, '28.8')
(26, None, 'Run', 9.0, 194.1, '2019-10-12 05:40:00.0000000', '2019-10-12 00:00:00.0000000', 19.7, '28.8')
(27, None, 'Run', 10.6, 195.7, '2019-10-12 05:46:00.0000000', '2019-10-12 00:06:00.0000000', 15.8, '28.8')
(28, None, 'Run', 10.7, 195.8, '2019-10-12 05:47:00.0000000', '2019-10-12 00:00:00.0000000', 18.9, '28.8')
(29, None, 'Run', 12.0, 197.1, '2019-10-12 05:52:00.0000000', '2019-10-12 00:04:00.0000000', 16.1, '28.8')
(30, None, 'Run', 14.5, 199.6, '2019-10-12 06:01:00.0000000', '2019-10-12 00:09:00.0000000', 16.0, '29.4')
(31, None, 'Run', 17.0, 202.1, '2019-10-12 06:11:00.0000000', '2019-10-12 00:09:00.0000000', 15.3, '29.4')
(32, None, 'Run', 19.5, 204.6, '2019-10-12 06:20:00.0000000', '2019-10-12 00:09:00.0000000', 15.6, '29.4')
(33, None, 'Run', 22.6, 207.7, '2019-10-12 06:32:00.0000000', '2019-10-12 00:11:00.0000000', 16.0, '29.4')
(34, None, 'Run', 24.5, 209.6, '2019-10-12 06:40:00.0000000', '2019-10-12 00:07:00.0000000', 14.7, '29.4')
(35, None, 'Run', 26.4, 211.5, '2019-10-12 06:47:00.0000000', '2019-10-12 00:07:00.0000000', 15.6, '29.4')
(36, None, 'Run', 28.2, 213.3, '2019-10-12 06:55:00.0000000', '2019-10-12 00:07:00.0000000', 18.8, '29.4')
(37, None, 'Run', 30.2, 215.3, '2019-10-12 07:02:00.0000000', '2019-10-12 00:07:00.0000000', 15.6, '30')
(38, None, 'Run', 33.3, 218.4, '2019-10-12 07:14:00.0000000', '2019-10-12 00:12:00.0000000', 15.5, '30')
(39, None, 'Run', 35.7, 220.8, '2019-10-12 07:24:00.0000000', '2019-10-12 00:09:00.0000000', 14.8, '30')
(40, None, 'Run', 38.3, 223.4, '2019-10-12 07:34:00.0000000', '2019-10-12 00:10:00.0000000', 15.3, '30')
(41, None, 'Run', 40.8, 225.9, '2019-10-12 07:44:00.0000000', '2019-10-12 00:09:00.0000000', 15.5, '30')
